repeat,partition_seed,outer_fold,family,target,kernel,mean_inner_cv_score,std_inner_cv_score
6,6,1,ICM,__joint__,"[""RBF"", null]",1.0127357573002345,0.17011407825042102
6,6,1,ICM,__joint__,"[""Matern"", 0.5]",0.952394223697192,0.24675581669616975
6,6,1,ICM,__joint__,"[""Matern"", 1.5]",0.952396707663761,0.24675630061882878
6,6,1,ICM,__joint__,"[""Matern"", 2.5]",0.9523916804397261,0.2467513723545259
6,6,1,IND,V,"[""RBF"", null]",1.0246977695705903,0.3091849548213378
6,6,1,IND,V,"[""Matern"", 0.5]",0.9379809897797913,0.24956444506219422
6,6,1,IND,V,"[""Matern"", 1.5]",0.8322887653721585,0.1734105110395267
6,6,1,IND,V,"[""Matern"", 2.5]",0.9407000567958688,0.2446929856705768
6,6,1,IND,TD,"[""RBF"", null]",0.8914823388828637,0.2985458841594793
6,6,1,IND,TD,"[""Matern"", 0.5]",0.7150867949627162,0.23563723440631706
6,6,1,IND,TD,"[""Matern"", 1.5]",0.7610582207635452,0.24018640901732147
6,6,1,IND,TD,"[""Matern"", 2.5]",0.8022661182082279,0.2558410485339376
6,6,2,ICM,__joint__,"[""RBF"", null]",0.9210717136999161,0.18114823188998744
6,6,2,ICM,__joint__,"[""Matern"", 0.5]",0.9210911640707435,0.18113965412154837
6,6,2,ICM,__joint__,"[""Matern"", 1.5]",0.9210819164298419,0.1811682569858283
6,6,2,ICM,__joint__,"[""Matern"", 2.5]",0.9210987807193153,0.1811776329254787
6,6,2,IND,V,"[""RBF"", null]",0.985014783190951,0.05890373929176318
6,6,2,IND,V,"[""Matern"", 0.5]",0.7291813258583156,0.3075138845618149
6,6,2,IND,V,"[""Matern"", 1.5]",0.8039747352742955,0.23303464149843509
6,6,2,IND,V,"[""Matern"", 2.5]",0.8449948734290589,0.10199038034900382
6,6,2,IND,TD,"[""RBF"", null]",0.9183931852949057,0.24101023773153865
6,6,2,IND,TD,"[""Matern"", 0.5]",0.7567117554466097,0.1701950655139697
6,6,2,IND,TD,"[""Matern"", 1.5]",0.8655290657913859,0.24122146635067604
6,6,2,IND,TD,"[""Matern"", 2.5]",0.9026804796593897,0.2312073697144324
6,6,3,ICM,__joint__,"[""RBF"", null]",0.8955766223627121,0.20357556906042495
6,6,3,ICM,__joint__,"[""Matern"", 0.5]",0.895556267510542,0.2036028324301167
6,6,3,ICM,__joint__,"[""Matern"", 1.5]",0.8955815241058132,0.2035910560320804
6,6,3,ICM,__joint__,"[""Matern"", 2.5]",0.895571741204338,0.20358141518437395
6,6,3,IND,V,"[""RBF"", null]",0.9036871674525978,0.14179769651924592
6,6,3,IND,V,"[""Matern"", 0.5]",0.7918366693478402,0.18197071823628086
6,6,3,IND,V,"[""Matern"", 1.5]",0.7966789419874782,0.2558136639364341
6,6,3,IND,V,"[""Matern"", 2.5]",0.8345338882283666,0.23321812303876577
6,6,3,IND,TD,"[""RBF"", null]",1.0098510097299354,0.2623852610039415
6,6,3,IND,TD,"[""Matern"", 0.5]",0.9154247822496103,0.2208272641006802
6,6,3,IND,TD,"[""Matern"", 1.5]",0.9110920579181867,0.23091046604411425
6,6,3,IND,TD,"[""Matern"", 2.5]",0.9431264572219931,0.24606193860083858
6,6,4,ICM,__joint__,"[""RBF"", null]",1.0150701427036624,0.1631036188145507
6,6,4,ICM,__joint__,"[""Matern"", 0.5]",1.0150641652933692,0.16310380933297014
6,6,4,ICM,__joint__,"[""Matern"", 1.5]",1.0150757794785683,0.16308737961959238
6,6,4,ICM,__joint__,"[""Matern"", 2.5]",1.0150450172448227,0.16308153650161833
6,6,4,IND,V,"[""RBF"", null]",1.0575067770526998,0.1578775185920407
6,6,4,IND,V,"[""Matern"", 0.5]",0.9333984796284464,0.13180226388181254
6,6,4,IND,V,"[""Matern"", 1.5]",0.9709862501250465,0.11319588856545967
6,6,4,IND,V,"[""Matern"", 2.5]",0.9931626645329977,0.12160799116672041
