repeat,partition_seed,calibration_method,observation_id,outer_fold,T_true,T_mean,T_std,T_lower,T_upper,P_true,P_mean,P_std,P_lower,P_upper,TD_true,TD_mean,TD_std,TD_lower,TD_upper
0,0,uncalibrated,76,1,307.58,307.60072945453675,0.8663910508304311,306.17564299222,309.0258159168535,1109.01,1221.247768218619,279.0628780378496,762.230181130546,1680.265355306692,8.19,7.997253814705219,1.2439648233148928,5.9511137632756705,10.043393866134767
0,0,uncalibrated,77,3,312.31,312.23159633190113,1.236723181394523,310.1973677214494,314.2658249423529,65.54,91.30463936531567,212.49074086512917,-258.2115264402973,440.8208051709286,2.01,2.072100972747007,1.8028515689888853,-0.8933259693595117,5.037527914853526
0,0,uncalibrated,78,0,312.73,313.0540240340434,1.1039137995267128,311.2382474170501,314.86980065103666,68.26,54.716281627786316,199.81918119390812,-273.9570232934867,383.38958654905935,1.34,2.703582237520837,1.6544817178443272,-0.01779801680030557,5.424962491841979
0,0,uncalibrated,79,3,306.53,307.1486726700354,1.285992752946735,305.03340282611765,309.26394251395317,466.58,561.3930689256358,298.9528925346762,69.65931935234016,1053.1268184989315,7.25,8.177299242637016,1.8506535438014153,5.133245048884664,11.221353436389368
0,0,uncalibrated,80,1,315.92,311.9595520404777,1.6355651134125004,309.26928683156586,314.64981724938957,84.11,290.0730817903261,288.94622473959413,-185.20116396653032,765.3473275471825,3.9,4.344071810201028,2.689084728054666,-0.07907895791950104,8.767222578321556
0,0,uncalibrated,81,4,309.26,306.9530325960667,2.7712577542254917,302.3947192278115,311.5113459643219,613.05,748.8420014584722,437.95565446735196,28.469054763942836,1469.2149481530014,8.86,9.140125055062073,3.202942314309778,3.871753772453295,14.40849633767085
0,0,uncalibrated,82,1,310.16,308.1894840533127,1.0809346995370392,306.4115046922815,309.9674634143439,517.94,811.1043642932726,355.46005119663766,226.4246098461274,1395.7841187404179,7.35,6.910247590785215,1.5969018356520706,4.283577814527444,9.536917367042987
0,0,uncalibrated,83,4,304.65,305.70162146842034,2.118550393848243,302.2169161692196,309.1863267676211,2419.87,1409.3303511462332,461.56392548877443,650.1252542360638,2168.5354480564024,12.79,10.604599663950694,2.552190628424685,6.406619652114795,14.802579675786593
0,0,uncalibrated,84,3,315.33,313.68082930707163,1.2659704593878234,311.59849320533414,315.76316540880913,96.59,58.93853451229245,297.8249306673949,-430.9398828925426,548.8169519171274,6.91,3.7395676765496484,1.8540839054653533,0.6898710399726129,6.789264313126684
0,0,uncalibrated,85,3,311.02,310.887884445401,1.5472657745263152,308.34285872431354,313.4329101664885,146.83,232.2294824165569,432.1100745156787,-478.5283408928279,942.9873057259417,5.0,6.182056227705083,2.2265954744048373,2.5196325858765536,9.844479869533611
0,0,uncalibrated,86,0,309.61,309.724019189261,1.4302297445651082,307.3715006065392,312.0765377719828,540.43,469.9515125276122,204.01625494944258,134.37463561696546,805.528389438259,7.42,8.12881472999971,1.738647352770495,5.268994325805587,10.988635134193835
0,0,uncalibrated,87,4,311.04,312.42031379214643,1.5919028518271685,309.80186661256414,315.0387609717287,153.39,164.22325675457586,274.24415114961784,-286.8682299341006,615.3147434432524,1.96,1.306111265456038,1.778339702733468,-1.6189972445369083,4.231219775448984
0,0,uncalibrated,88,4,312.29,312.1886916511184,1.7930156099025463,309.2394434219896,315.1379398802472,42.84,100.66919869439471,340.5677227477377,-459.5148552898248,660.8532526786142,3.51,2.646412313135027,2.021452646443193,-0.6785814040777094,5.971406030347763
0,0,uncalibrated,89,3,311.14,311.16329953699324,1.4251858205496986,308.8190774709823,313.5075216030042,504.12,637.6752717084278,350.94206630822356,60.426941091502385,1214.9236023253532,4.26,5.0762269989349385,2.022818464499615,1.7489867109383401,8.403467286931537
0,0,uncalibrated,90,1,308.79,307.6382672404109,0.9219613939679908,306.12177569763344,309.1547587831884,843.81,871.6427970804546,247.66419400225308,464.2714493098357,1279.0141448510735,7.69,7.3175953269824525,1.3421591836266134,5.109939925847991,9.525250728116914
0,0,uncalibrated,91,2,302.53,304.2662083426511,2.495694246177149,300.1611566100647,308.3712600752375,2030.6,2107.1337595999676,513.283319332501,1262.8578301422128,2951.409689057722,2.36,6.4106003326535195,2.0044576729762875,3.1135608591877664,9.707639806119273
