Lambda,Pin_Height,Amplitude,v_in,Tin,Tout,Pin,Pout,ΔP(Pa),Twall,,,,
5,0.3,0.2,0.8553,293.57,306.1,19264,-294.34,19558.34,307.65,,,,
5,0.3,0.2,0.933,293.53,304.97,21996,-385.32,22381.32,306.68,,,,
5,0.3,0.2,1.0108,293.49,304.11,24848,-490.04,25338.04,305.88,,,,
5,0.3,0.2,1.0885,293.45,303.52,27804,-608.34,28412.34,305.22,,,,
5,0.3,0.2,1.1663,293.43,302.76,30863,-742.15,31605.15,304.6,,,,
5,0.3,0.2,1.244,293.4,302.17,34009,-891.47,34900.47,304.06,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
